seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
2048,gt_aligned,0.15,100,0.25,0.25,0.550076,0.210243,0.611111,0.208333,0.173913,0.0625,0.210526
2048,gt_aligned,0.15,200,0.37,0.55,1.135924,0.575142,0.710526,0.428571,0.209302,0.085714,0.404762
2048,gt_aligned,0.15,400,0.5075,0.75,2.329351,1.226543,0.846154,0.646341,0.204819,0.136986,0.678571
2048,gt_aligned,0.15,700,0.578571,0.65,3.867672,1.982085,0.912409,0.807947,0.176471,0.142857,0.804196
2048,gt_aligned,0.15,1000,0.586,0.6,5.132336,2.525415,0.94,0.855,0.145,0.13,0.86
3072,gt_aligned,0.15,50,0.3,0.3,0.529058,0.26464,0.142857,0.181818,0.0,0.363636,0.571429
3072,gt_aligned,0.15,100,0.37,0.45,0.697491,0.406655,0.235294,0.416667,0.0,0.363636,0.652174
3072,gt_aligned,0.15,200,0.5,0.85,1.3159,0.768855,0.34375,0.586957,0.230769,0.511628,0.775
3072,gt_aligned,0.15,400,0.71,1.0,2.8945,1.58838,0.636364,0.759036,0.534247,0.684211,0.89011
3072,gt_aligned,0.15,700,0.821429,1.0,4.841749,2.399283,0.797101,0.859155,0.717241,0.79845,0.931507
3072,gt_aligned,0.15,1000,0.875,1.0,6.618339,3.072351,0.86,0.9,0.795,0.87,0.95
4096,gt_aligned,0.15,50,0.24,0.25,0.489497,0.163714,0.4,0.0,0.076923,0.272727,0.4
4096,gt_aligned,0.15,100,0.28,0.4,0.526946,0.213202,0.454545,0.266667,0.090909,0.235294,0.333333
4096,gt_aligned,0.15,200,0.405,0.55,1.131862,0.573155,0.704545,0.466667,0.119048,0.25641,0.466667
4096,gt_aligned,0.15,400,0.5825,0.95,2.428345,1.157843,0.843373,0.769231,0.194805,0.366197,0.681319
4096,gt_aligned,0.15,700,0.645714,0.8,4.136418,2.09507,0.908451,0.873239,0.219858,0.422222,0.792857
4096,gt_aligned,0.15,1000,0.684,0.6,5.563334,2.836639,0.935,0.91,0.23,0.49,0.855
5120,gt_aligned,0.15,50,0.26,0.2,0.467582,0.161212,0.25,0.272727,0.076923,0.666667,0.25
5120,gt_aligned,0.15,100,0.36,0.65,0.644365,0.397821,0.333333,0.384615,0.086957,0.454545,0.535714
5120,gt_aligned,0.15,200,0.505,0.45,1.312074,0.641049,0.731707,0.575,0.117647,0.25,0.714286
